train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0.19396117043862968,0.0014307184533741356,0.19398889345119902,0.012441903884528559
0.1817031569738249,0.0012158133956598571,0.18272759966272564,0.01229295065596584
0.1693822175140878,0.0010969432784078699,0.17086750680861754,0.012226645746335835
0.15910246365079697,0.0009421347349408692,0.16132086877187038,0.011770454542896823
0.15166768557841515,0.0008370964976619974,0.15459039785303694,0.012033264871264816
0.14216918681204246,0.0007076363306280654,0.14555094797533313,0.011758837046647196
0.1341169822377482,0.0006824363057181614,0.13793098051544792,0.011727898471956709
0.12672465009005068,0.0006447436262499331,0.1309089914088804,0.011674324055755303
0.12187431773670379,0.0007020357559793585,0.12638817489042634,0.01204235274258457
0.11607224118194144,0.000758163943541963,0.12121594544590215,0.011732290613321088
0.11305430723897278,0.0007439849261888586,0.11882329936947378,0.012019675201761934
0.11040372739413765,0.0007425330317824008,0.11675774584075327,0.012131046058189794
0.10581490752331808,0.0008468609108500281,0.11270589126884419,0.011946482190836223
0.10262486006968667,0.0008293384934490467,0.10987539447917283,0.011983628939672556
0.0987476432155121,0.0009047527010057879,0.10648037214911325,0.01188778994100502
0.09508869111099524,0.0009733189796411605,0.10327812406223529,0.011711173127634616
0.09204629752124284,0.0010160850067297868,0.10060676119142165,0.011485515474842835
0.09067124157085568,0.0009905414076022134,0.09960463633674922,0.01163736361015763
0.08803617732569015,0.0010168763643992342,0.09754207881551946,0.011496925521697078
0.0856461794034156,0.0010380332236396047,0.0957686422239549,0.011462541063868797
0.0838544766793291,0.0010180546329321336,0.09398918771213793,0.011757963814131165
0.08168674360749262,0.0010735734221912273,0.09218770715655714,0.011753667830142178
0.08024722480463824,0.0010758346474803607,0.09085735736435108,0.012068773983014222
0.07840988849566329,0.0011254741552983272,0.0895025531143345,0.012005163695844147
0.07677649589219294,0.0011616874984185697,0.08832974424118699,0.011882981142259849
0.0753170001094589,0.001191322467526413,0.08719552118429384,0.011805556030588289
0.07400133619389224,0.0012219873362770014,0.08626281490750404,0.011743674783334617
0.07279564305832029,0.00125249379886524,0.08538468952055452,0.01176823933401209
0.07192473944519007,0.0012512815759009848,0.08464096195695178,0.011818840106883733
0.07086984716593941,0.0012992393912285938,0.0838789193831678,0.011768427431394642
0.0699008064011601,0.0013612366138322945,0.08319070591856897,0.011771734824912214
0.06917029282850076,0.0013994590478383342,0.08247785105753963,0.011827271203800041
0.0683425318617914,0.0013935028406238672,0.08168450008787609,0.011937543123158131
0.06763370924273401,0.001324436054257867,0.08111163418786946,0.011986458669845863
0.06707209167082315,0.0013070693273414963,0.08061208212760387,0.012081595018076752
0.06643479503103412,0.0013353468123471113,0.08013441847703377,0.012149448495208482
0.06596627100412049,0.0013282463742633652,0.07982592465096935,0.01217188837718125
0.06560951527377887,0.0013905027370525827,0.07950481257130956,0.012205792001068532
0.06487921782371724,0.001383742289252515,0.07867500523256478,0.012298852001051368
0.06431031221381464,0.0013791443269170341,0.07826224211113807,0.012311244653342848
0.06380915766183222,0.0013968592308134728,0.0779139973688793,0.01232663660976611
0.06338198486767761,0.0014132640452358862,0.07766786848973284,0.012342140219435934
0.06328794155055475,0.0014121531630963938,0.07766645397208052,0.012340756299085764
0.06275398621859182,0.0014114327302815752,0.07720739721581057,0.012392463359309944
0.06230200104563127,0.001440103939219918,0.07693661099874918,0.012401964399065867
0.062224730612131116,0.0014406247410051615,0.07691122097703752,0.012416237870645339
0.06179807348205304,0.0014640219794330262,0.07663083442069181,0.012422348211273623
0.06143397547778373,0.0014737735748352142,0.07642815176105092,0.012441046925897635
0.06143397547778373,0.0014737735748352142,0.07642815176105092,0.012441046925897635
0.06109081729197918,0.0015186973132985857,0.07619174427777288,0.012458864170951826
